x1,x2,x3,x4,x5,x6,position
16.671724334,17.788060532,12.091869131,4.6797360717,8.8619260117,5.8801053371,1
15.976463176,18.350675499,11.268776911,6.0708733201,13.571305115,8.1695094686,2
13.927991964,18.866593332,12.648424017,1.6303252205,9.6341340542,10.277992645,3
16.485256534,15.37921905,13.396210575,2.2048004456,13.752792597,13.82577659,4
16.573822379,15.341574138,12.795771132,11.949401529,16.784695674,3.7846962861,5
16.80813494,16.891643996,10.996739394,2.8196512228,13.997824699,12.427085467,6
16.446299959,18.762591662,9.2014448498,11.700512695,8.4200630262,11.451886519,7
16.264856398,18.520751527,9.5155170078,15.04610159,16.936746884,8.9429521437,8
14.938336194,16.445112111,12.650772389,8.4450767972,10.820053633,5.5309683648,9
11.722684316,18.233322576,13.383214105,14.253531571,2.3773884289,3.8827792301,10
16.969936173,13.478070528,12.253211595,11.737312108,10.556441229,9.0174522756,11
16.087984089,18.337519305,7.7334343328,1.099661143,8.6710726358,4.9339689414,12
15.404156316,13.03912209,13.259687355,18.608762641,7.8690057881,13.640755383,13
11.932097849,18.64139702,10.857787108,15.754945429,4.5524203889,9.5621169326,14
14.108881239,15.700886885,11.590894117,3.2484872215,5.135537684,8.0189490386,15
13.115639392,17.889637586,10.141254208,9.8411851344,3.8807716928,2.6423153782,16
14.955844264,12.670755136,13.266027883,9.1309429221,1.0810094438,1.8241785474,17
16.178530462,14.213096788,10.360116026,17.342405579,7.1754843146,3.1497542805,18
12.855211392,18.836828615,8.4517309512,1.2916356893,8.0480717458,12.999204199,19
15.113765191,16.901858498,7.9975916436,3.0735578327,8.8644254096,13.708970522,20
16.462073248,17.944827728,5.5304808081,8.1493455716,3.2548321933,5.914844698,21
13.637126509,14.33924148,11.82512612,16.640132058,16.105857171,5.9956787264,22
16.505980127,14.699538904,8.5794999346,9.1852344032,16.057794128,6.3179603333,23
12.561055567,15.293256338,11.917909609,17.244769285,9.4796796367,6.5023120674,24
11.807749629,17.362449333,10.386731472,2.6358953086,3.5710585453,10.801106976,25
14.583777498,15.201210724,9.7481291955,10.790290779,6.3418622836,12.672759625,26
12.388684325,18.402075345,8.6211312942,6.9400435621,5.9989996143,1.9513481883,27
7.5876998417,18.143425449,13.672283677,13.98873093,4.797493346,9.7623900468,28
16.337851308,13.441654839,9.4247689163,5.5182560869,7.7781678997,8.1380583094,29
16.451940943,10.117651297,12.630337823,6.3765458935,13.760119814,1.7862049041,30
13.018866412,17.759175673,8.4041263594,1.1363590765,2.3946072683,2.7714501196,31
14.637649156,17.563458347,6.8823423055,16.321092474,16.807537179,13.461520233,32
16.297494728,10.586079241,12.057655019,3.6270568129,1.3685446009,13.853756329,33
12.651422419,14.362945804,11.816351998,13.098982357,15.554062132,8.0756208498,34
8.9298088141,18.141940285,11.33137878,2.1875548097,15.390559748,3.8480732578,35
16.267339487,17.996706957,4.0608206254,14.57016448,3.508343,1.2247767965,36
11.466292817,15.761274495,11.000983292,3.0205496042,1.9596647359,13.508130955,37
13.887743194,17.759802228,6.5728698822,8.7839035317,2.7382032759,7.8968990727,38
12.904233158,18.870221107,6.3414846556,8.6798906093,6.504412517,11.43415212,39
16.219688706,7.9970722534,13.87097946,10.356095668,16.373529501,7.1046743146,40
12.446847383,14.487157059,11.101982838,7.8031834019,3.924740579,10.284020027,41
14.344919365,13.317001723,10.332712329,6.5453153336,15.841009311,9.3657763589,42
14.938924108,12.596240821,10.448186787,14.109879681,14.555133283,13.97825973,43
9.5281208046,18.116395392,10.227486107,17.838750825,12.165988099,12.696315386,44
12.309401646,12.710020761,12.669166618,7.7321538553,2.662708208,12.738516441,45
8.4026160613,15.631155393,13.542571092,4.6592290918,12.347359534,11.282455536,46
14.890128791,12.278111717,10.380872011,12.171431497,9.9374319352,1.903104255,47
13.754279453,16.105243439,7.6524071523,5.9165885253,8.7484242097,5.633619919,48
15.471841317,18.481513122,3.5348084469,1.9087350965,12.322759956,4.5100314608,49
15.6825292,12.392264974,9.2904437757,3.1833121702,13.091125548,12.241790528,50
11.097468901,16.571933755,9.6617673617,15.513378866,6.0616695732,1.6569312629,51
14.592194356,15.062458103,7.6482557803,8.6447258727,13.614168968,5.4861712677,52
14.032645255,14.58112565,8.4722959879,18.486140088,2.3983880617,3.998732528,53
16.80406541,10.237821616,9.9493701831,14.967748108,6.7440907285,12.764832906,54
8.2615694068,17.071382615,11.546888116,14.829229929,9.4357465617,13.988576721,55
16.009663697,14.04904602,6.7764042264,13.362471691,14.233724289,3.2728987094,56
16.342632871,9.4332560999,10.977521688,16.170764399,5.1530432254,4.5974400342,57
15.836272608,18.647057386,2.2358151346,15.630307429,5.5217475854,2.61093379,58
15.35070524,10.848060343,10.503540089,5.1791632939,1.2444826253,5.0741831299,59
15.544214562,10.897194243,10.239287095,12.124620119,15.088861533,8.2831219193,60
11.873292748,11.607761513,13.195480723,3.0146405385,3.161958769,4.7393440085,61
16.606819432,9.5230876007,10.506655524,1.6668840479,7.3172173724,12.176568347,62
9.1285159662,15.792646697,11.601135976,16.518564552,10.179797281,4.783528185,63
12.669069495,17.610436492,6.1167944619,7.0309330393,3.5837836638,7.3423531631,64
16.189667862,6.3164606648,13.878064474,13.595165343,16.551055171,4.735091384,65
12.973821785,16.163227861,7.237432857,4.2828680607,6.9561855458,7.1289463409,66
6.8575782105,16.923982368,12.405257671,8.540744219,5.1313947141,6.9393639844,67
12.0518017,14.312679279,9.7750580122,18.194801386,5.1087127887,5.866092653,68
13.574918054,18.80391229,3.6838676666,3.144866698,3.2092976049,13.77063646,69
13.091909759,12.741130089,10.171176749,11.23281785,5.1047561616,7.1529477108,70
10.250576787,16.572629386,8.9860457042,2.765807285,12.074936979,2.7236263815,71
11.419692397,14.505086679,9.5991604982,5.6117269471,11.37778113,1.8015181308,72
15.580779869,17.416844628,2.3072695688,4.3561402275,2.2855777033,3.832567893,73
9.4134580605,15.76280708,10.125743818,7.9759622919,13.415263541,7.3855078921,74
2.64811901,18.688321139,13.921610459,4.6270339168,7.5891520642,13.748925895,75
9.2008457743,16.315049214,9.6507575884,10.177998548,1.2414077148,9.4721523703,76
11.345792118,13.647031352,10.161114312,6.4363673227,16.23402968,2.7166135167,77
