instance,x1,x2,x3,x4,x5,x6
26,16.604371738,18.28821434,13.552501203,15.231810496,14.229043011,13.436862263
484,13.247353021,17.032613518,13.726520828,16.294739041,14.761232689,10.446043133
71,12.052354112,18.918960189,13.941322293,7.597717097,15.54648912,12.563731103
35,16.360616997,16.690826136,7.4778605197,18.452350943,15.906666767,5.422613139
87,14.309866607,14.666160112,6.8025649204,14.408493397,15.394484255,13.385976434
243,12.794240899,16.871313896,6.9209244079,14.476439304,16.582683995,10.286518615
349,16.401875108,7.9781017476,13.182831878,15.562961654,11.062685233,12.897921602
60,16.866658967,17.757681393,9.4270987127,18.839154727,12.095353443,1.6562945093
122,15.137646724,4.6412919029,11.394242183,17.696300314,16.621029034,11.125788098
402,15.530965127,16.946777808,2.4533742913,18.357510689,11.334959798,11.624550532
268,15.08980016,14.70183332,10.850107439,16.627933611,10.870808225,7.7651879145
275,12.887318037,18.361169843,9.6776353128,10.4630994,11.840943068,12.136447049
29,5.7333740294,14.129348533,11.086938627,17.611364691,16.583725464,9.620691689
346,10.18086772,13.293381344,2.8369400266,18.773010761,15.839834426,13.839106516
221,3.0675595403,18.757409064,12.027531102,14.787260126,14.417768087,11.22240172
153,11.913233072,18.751642834,10.271581704,15.4073077,11.467085898,6.2219271855
103,5.1466540769,18.072992732,13.38931943,13.657049537,15.69372014,8.0452432355
466,12.8725699,18.414753346,10.911896904,11.173691045,13.112903722,7.0289265243
44,9.0193942375,14.762335255,12.705066832,18.138326704,11.865842391,6.8129373044
418,7.2734174915,15.941073287,9.2856695643,13.942149366,14.140271954,12.639095625
181,13.3399827,11.719544309,13.96621698,8.2871172251,16.236224424,9.661960314
176,15.190068241,8.4126139418,12.530965941,17.098277029,12.284683518,7.6183662615
405,13.150429197,16.632746914,1.3469754236,17.897331058,13.261149406,10.60737253
423,8.1881074123,15.223043604,11.698565492,18.979985461,7.9009131193,10.727820399
490,13.342085518,16.325021848,7.5453314027,17.701197541,10.347623874,7.307953642
232,15.365032472,17.139220748,3.0273257105,16.230550284,15.177231826,5.2012474353
460,14.063036978,15.446200582,13.542490655,17.078612158,5.5754404142,6.2699075181
