position,x1,x2,x3,x4,x5,x6
1,1.8941302858,14.851857304,4.7314774292,4.1799546513,12.413521569,13.949775242
2,4.1354883648,8.9964484377,6.3507174742,14.346366387,16.073052894,9.0797747411
3,13.01289149,9.5629758458,6.9273789586,14.86087321,16.657387048,13.201429877
4,14.2587483,9.0422576466,7.5220828308,10.809507361,15.542461261,5.2699698934
5,1.9297476448,14.17500486,4.0965029853,18.794659235,8.5802439302,10.504553258
6,7.233292602,2.9414070291,12.126684931,6.7089715698,6.9696218036,13.330769348
7,16.574103609,7.5779394894,13.370097441,14.236330166,4.4126829691,13.476680428
8,4.6727908812,2.2101321239,12.16561286,16.128589981,4.0569256097,2.8232288994
9,5.4697167277,4.9608083502,1.5739006628,16.086419491,1.384321928,3.2684560353
10,2.5161149278,13.945029334,4.9510136875,14.076772513,16.30930271,2.7989010923
11,11.709212311,11.385868103,8.5531299708,11.959346033,9.8696432412,4.838440821
12,9.6646876968,9.1481561745,9.234096074,16.363037299,14.362594005,5.0701345571
13,15.291458201,4.0608665366,5.5956635859,10.578398681,2.7623366453,4.2111679083
14,13.11654447,4.3258059355,12.803304863,15.215654416,5.98887413,11.229893878
15,7.8724466749,16.98429869,8.5995129105,14.371149315,15.516313378,11.681918077
16,9.4331534244,17.305148593,8.7230004543,6.7009284212,14.24346365,4.0467961428
17,4.5767863281,10.019037381,4.1662585351,4.7721780282,4.4736022577,11.467073132
18,3.5207866095,16.189825098,13.829942173,1.1826725365,11.565504566,4.0558892475
19,3.4687426277,5.2129182783,6.8638742892,18.927443023,6.5436219499,13.032558818
20,3.8128647916,14.104845334,10.456095987,12.627916754,1.8857442439,13.175210714
21,15.465845585,14.272355448,4.031223913,1.7357351086,1.6085132137,5.307303281
22,9.478577204,12.136533938,6.5319709291,17.54012263,14.750240251,4.2875341945
23,9.5357177779,10.708964224,2.49604703,5.7223006198,9.8278997615,2.7375290839
24,4.1616882421,3.2159186578,9.1326484168,14.908288258,12.909026202,5.5228904907
25,4.8760932833,9.6714665736,1.607252954,4.9690163122,2.3624792472,2.1739067079
26,7.6197358072,18.596260916,11.265061997,8.2000906067,7.3958325721,11.101503765
27,8.2646738291,3.0763707617,1.1088354879,7.9343027119,2.6343529187,6.1069716536
28,14.899738569,3.1193076978,7.020613465,14.758702915,1.526458405,13.407427823
29,6.3123403937,8.2757318849,6.0691425339,10.742844882,14.164716396,3.1528481981
30,3.9728926159,8.0564175402,6.7149805385,1.2106624437,14.826657802,12.12473649
31,1.7612567209,4.7173235347,2.2264065952,14.867112615,11.430470783,6.0933376886
32,12.83292307,16.971407142,2.7332312178,2.979288131,12.594081867,3.4650695808
33,7.5006411113,3.1797128972,4.2719947812,12.393266779,5.5787271149,5.5889216408
34,7.4083618,11.852865298,6.8585975203,7.0866672262,12.199519198,8.1685770482
35,12.35777735,5.1507322891,13.65754776,10.309226496,14.198625863,6.9965589324
36,4.579629723,2.5300789527,3.0962176693,15.55112732,9.1402533464,1.6905775319
37,4.3354956135,2.566039287,9.9356524544,4.2640066789,10.179371301,12.909044463
38,6.9443400502,14.265262534,2.8825241337,13.28858047,8.0705989301,2.2672290369
39,16.066388316,7.9067730382,1.3748538014,6.2938655349,5.8249449991,5.9099658593
40,3.289027106,2.6680519646,3.9691480619,12.893788829,13.352039307,5.03154944
41,12.753103971,5.1034453087,1.9054017765,17.861259898,16.833626382,8.6798616643
42,1.9318997897,14.503536476,10.17788441,3.5889225104,3.2504436895,7.5662176795
43,2.9977492429,7.2945793453,7.3594244814,16.093327553,7.0615286753,12.95498069
44,16.631675504,1.9531861353,8.5296282829,2.431347237,13.905825712,8.0190628734
45,1.0165267251,4.1657136972,9.9157363421,5.0157402968,16.506063025,1.1379606554
46,2.5194704048,3.4369834624,4.5456046229,5.0272652628,16.905974619,13.538177737
47,9.1029505245,12.079386604,2.6597014957,16.387155345,11.412606735,11.510498118
48,3.9280293509,10.079612523,8.9897784942,17.861556597,12.339431472,5.0349492428
49,2.5706223175,1.0761292391,8.3978848893,11.121517219,14.879807584,8.7922504318
50,7.4401206486,18.411130541,13.877095178,17.183428217,5.7639449313,12.568294831
51,7.9222441316,14.247925473,12.512724144,14.580416369,16.255091816,3.3023302041
52,10.512482915,17.36086141,5.3437283749,12.880762471,9.5798787065,9.5947945747
53,10.324381314,4.4127972033,13.951978037,1.0664577214,6.8575487249,1.0822289798
54,2.6100035682,15.111922723,9.634187072,17.196870372,15.906979453,11.526495622
55,8.0119013935,12.235125299,8.262171332,7.1847458491,9.8953142203,4.5487788536
56,5.5587955154,12.142745209,13.193069239,14.860627051,4.6624941975,5.1044620101
57,12.781752925,5.8964709351,13.58401578,11.374636416,6.3044788279,12.776262027
58,11.188429382,3.1361658298,12.848209796,4.4079233948,15.117631178,13.371708188
59,5.9866849668,12.028944206,7.1461250531,12.255824308,5.5873612091,1.1360352938
60,3.7794339173,12.92052127,7.1591670732,18.324014982,7.2256333567,11.170395049
61,13.856829423,18.506065611,7.4129785451,17.437097774,11.363300759,7.4949505557
62,3.7904922143,16.352705241,11.520014411,14.73420454,12.302669443,9.6557585041
63,14.14661352,16.876213168,12.385686835,9.9786015754,2.8251603693,6.831060196
64,6.6037396155,13.673562394,3.5783599529,11.697088604,2.5827335268,11.491352753
65,7.9252287932,8.1291819564,13.644215473,11.989260056,14.213634145,3.3112613296
66,16.426297415,9.7874197643,2.0587660237,13.876241619,11.611524783,13.713592374
67,9.736424014,4.4317337666,6.5154014872,14.452136596,8.3990861662,4.492820044
68,6.9360398278,5.4209183487,6.9388538538,10.528574364,10.821952306,4.392111531
69,13.187145829,5.3861575946,12.347509113,5.2305372064,11.582596488,2.1543660518
70,14.939250726,1.1089469381,2.5037724122,11.615634748,1.4039606117,1.108158384
71,15.813925691,11.433955518,12.919463556,8.7819984592,15.578002635,13.267742035
72,8.2221418135,11.626873447,2.2949043559,12.950456156,11.803286098,8.7044504753
73,2.1459510289,11.522742809,11.724339546,14.059904163,10.944251541,2.3545188538
74,2.5820908993,1.6352941887,2.3419752384,6.8647333439,5.4683717191,5.6157130105
75,2.1002240479,2.3579010409,12.60194985,16.424142664,11.595467784,1.4465342527
76,15.585445955,5.9019302949,2.6497970487,10.544959598,1.3531692326,11.255195666
77,15.947885919,2.2367390213,13.193741603,5.2964606904,10.451577749,7.9750529376
78,1.553223379,2.6190012852,10.367006254,3.7624792703,8.7053345554,3.7274863645
79,14.753624968,9.2318068724,5.2114969585,10.799164469,3.9158038571,2.4008085378
80,14.553712197,6.007112476,6.1187248873,17.230269775,6.9371710457,2.7455569371
81,8.6609433852,17.295114676,13.015284683,9.0755326287,6.8393008001,2.7739543351
82,4.1987281702,1.2663776791,8.6886733645,5.1685939026,8.1052292027,2.6239621744
83,1.0389522463,2.8337148703,11.560096601,6.2318975213,7.3039854132,3.5347081963
84,1.4192057475,16.904863896,11.01711097,11.566354053,3.356185101,2.1639096166
85,4.6367199793,17.703385335,8.6781001736,4.9773018444,3.4267963953,10.478805904
86,4.3240434192,17.476257234,1.1141880932,18.468458341,12.14990684,11.505236201
87,5.8343207911,14.589898129,10.857017157,2.819018695,4.7261340283,12.721841863
88,5.5580697283,14.363297714,10.037543547,13.798733821,2.9918796495,8.6558278683
89,8.8743959293,7.7866257904,5.0431046181,12.110446626,7.8262639418,12.213090617
90,15.157047622,17.175407084,11.890333969,11.973683479,5.5896637291,1.3332609639
91,10.152650569,11.398949253,8.2712869137,1.3539874097,6.9875872508,3.9432294362
92,12.887608405,6.1238511098,12.810698163,17.037471589,16.400860425,10.236363386
93,12.199301649,4.2661807099,9.3489418784,10.58562891,12.704492308,8.2146721031
94,6.7764470987,12.158266113,10.702374475,4.15002588,3.7957515754,6.5920815617
95,8.805765152,16.751199513,10.584285395,18.363596152,14.20568395,2.8097398242
96,8.3474686705,13.362813819,3.8129730178,6.8703136253,13.807280157,9.700581556
97,14.120541651,11.876830571,12.91004877,7.424378627,16.399476483,8.1738748685
98,5.8222938925,13.467201551,4.3235961301,18.063087984,11.453274358,2.1598346168
99,8.066601377,5.1532344716,8.0503967865,5.9956714506,4.9776074067,9.5748088248
100,4.853539411,18.006251635,13.239785088,7.5515403794,2.3117297404,12.29041282
101,1.1294790022,9.898551018,6.7424125543,17.985296542,11.337558679,12.893417466
102,10.65349903,18.257569704,8.8116373387,17.110842461,9.3777667843,11.011303237
103,14.170583308,13.766144206,10.146595172,10.99908946,8.5704882443,12.674975193
104,5.9876789749,15.809229928,9.1402118804,3.4621023373,10.988376625,4.830907925
105,15.886573847,9.6417510505,4.5462020584,16.263623531,10.662118938,6.6892908567
106,13.481725685,3.5288999532,11.121179819,11.835648181,16.009538125,1.7067080971
107,16.351215649,13.531230335,6.1684382616,15.35037058,10.079401419,6.1255136025
108,5.604388576,8.9041460943,2.9619380457,12.211835502,12.583620235,9.2439838373
109,10.1651957,9.5390769108,4.201635364,9.4930877551,2.661764957,7.4369908357
110,5.6084822454,3.1045960998,2.9465023002,14.487594679,3.7668242045,4.4121578441
111,3.7775641121,9.7872958295,9.4794068795,6.5290555311,12.646124143,5.615304644
112,5.8466569707,3.7175013409,6.883493636,3.1433810433,8.9153312147,9.1708833545
113,6.1498324685,8.5214129183,1.9442411871,1.7773583364,13.211868558,7.830980229
114,12.26749457,14.257372012,12.474157842,13.595208036,9.2648081295,1.1276775619
115,9.696090769,15.995411984,7.1358316806,14.922621056,13.150558591,12.641007556
116,11.071229838,17.185846426,5.1125696376,10.185864805,14.877160918,11.790274707
117,15.231501065,13.455179308,11.261249393,5.3768124683,10.336889796,1.774577219
118,2.8533179611,12.403382202,8.3554210875,18.842247968,3.8845387213,2.8530336861
119,10.207532763,7.878700959,7.909825569,11.746502576,8.3951474987,2.3025606787
120,3.0884872265,3.4734570794,1.4860582948,15.869649959,1.9756430164,8.9204488574
121,2.0749022439,1.5452569332,9.1761034981,4.3664518376,12.836720727,10.893944018
122,8.6344223395,18.781356874,12.751542243,4.8160414957,10.749799035,5.43295017
123,11.166105054,5.3455703701,10.907341796,16.565287489,10.063390069,10.843552938
124,9.9533675425,5.7099844064,13.607303358,1.0044977753,6.9692557044,4.9097628298
125,2.3642100655,4.2262886302,8.2646325035,12.761698806,4.6562440097,10.352783353
126,12.929217335,6.2892561504,6.6228154816,9.7072092844,13.170189105,4.2179841583
127,16.601516679,10.026071491,11.853140655,8.9483278729,6.0003295466,3.5603649677
128,8.2615198381,7.3926213393,8.2676694416,11.798399775,10.01250058,3.2474775228
129,3.4142090008,9.5599670568,9.8616924305,1.3601750815,8.527522631,1.5626882303
130,9.1370056905,3.8642392922,9.2689304128,3.6950097149,3.4875319116,10.613351353
131,15.461939625,5.2485998054,4.138465852,7.0979395574,13.251768321,1.0736926184
132,10.060098402,1.8419525679,8.3878997054,7.5901766825,12.953079931,3.0022136054
133,5.2027511261,18.627163848,12.249005856,16.30432117,6.4215137586,10.362863802
134,14.577501014,17.561035788,7.3962752097,8.3974756547,7.0292640217,7.6145590153
135,12.139422949,15.442759408,6.2719350371,17.716471473,10.822548479,8.2188638344
136,2.9503193945,1.5910115507,4.4130044456,11.596707686,10.400309328,7.6340175967
137,4.5977540463,1.6508168741,4.4666883377,18.05411915,10.249353994,4.0465205135
138,9.0111582391,2.9063350256,10.508023625,13.868606447,2.0743645802,3.6359727534
139,12.06730869,11.118693561,3.0170192411,15.95799741,14.061393213,9.7041778252
140,9.5185141563,16.509831715,8.9136050846,2.1050648922,4.1815682054,9.5669382592
141,5.1696137413,5.3135896041,9.9728351287,18.830502118,12.680284936,5.4272440558
142,7.6225699,18.314921363,12.999167212,17.825806329,11.683037948,8.3924828835
143,2.1641586423,4.4892638098,8.8002413944,14.940738289,5.3497745059,4.3984330387
144,9.156290967,11.040853383,10.382690076,3.9828480333,12.337603759,3.0958005765
145,2.9363027439,14.746806082,5.4282881741,4.9182200092,16.273574993,12.887340784
146,8.9117555916,11.606078264,1.5376179919,10.26112298,3.5758175924,9.1498147403
147,2.3983594701,13.444332764,7.5542420307,8.6237229356,5.3396000564,13.883419961
148,11.819202974,17.461391028,9.8347279611,4.1171015548,5.5409029387,10.649140925
149,14.761346366,4.666152393,8.3441100297,16.107982863,10.184040684,10.473067778
150,3.82270547,12.119997746,8.8015059484,12.431729371,1.4370318465,5.0257837947
151,4.2127547748,3.7879221519,7.827872155,8.2007361851,12.065858696,5.7502072977
152,10.795346331,15.912320556,5.9671798216,18.201370288,4.3665771484,10.509072301
153,6.7809031866,8.4700835976,13.337834543,14.50947808,9.6798640266,2.7545885099
154,12.049774069,9.7720042667,4.2380986591,8.770890757,4.4851055183,9.9028051118
155,2.1340618581,7.3502923972,2.5245410798,2.1138240229,3.2896556705,1.1872686991
156,3.3551298417,18.28044393,6.3467637461,2.4535970325,12.446587428,7.6642143629
157,4.2731823958,1.000869392,8.071624462,4.1729092803,1.9580822326,13.136028386
158,9.0192761086,11.963182455,12.133746376,9.6228607469,4.2737942524,12.917147217
159,16.907995515,18.973698971,5.2606143835,5.8142950959,8.5691143312,5.4609019537
160,2.4022286758,5.8319405778,5.3267186095,2.9199619005,2.6901116297,11.137750354
161,4.7713822313,15.884426076,9.2914092336,7.482717637,15.830659349,6.9270922663
162,5.6506110765,15.563225277,7.3056676101,13.414405598,13.851488382,7.3916726117
163,5.5497857518,2.9282066589,12.0544974,13.448587674,11.497791428,1.987984017
164,2.1522435509,17.645375927,8.0054456315,8.3585469197,4.0629357323,5.6596841156
165,7.9928452708,3.423354886,5.2738741273,1.5199020868,8.1747893468,11.334403617
